Unique Method Stereotype,Method Count
get property set factory collaborator,1
factory wrapper,1
predicate set,2
predicate collaborator,7
get property set,1
property set,6
get command collaborator,3
get property set collaborator,2
get predicate wrapper,33
get property,2
predicate set collaborator,15
factory controller stateless,23
property set collaborator,21
void-accessor command collaborator,8
property non-void-command factory,4
collaborator stateless,80
property factory collaborator,148
get,72
get property non-void-command collaborator,42
collaborator incidental,191
predicate wrapper,121
property non-void-command collaborator,1089
set collaborator,169
property controller,90
get property non-void-command factory collaborator,12
unclassified,8
property non-void-command factory collaborator,238
property non-void-command,219
stateless,6
property collaborator,65
factory wrapper stateless,40
empty,100
constructor,3260
factory controller,5
get property controller,8
set,114
void-accessor set collaborator,2
get property collaborator,9
wrapper stateless,982
get non-void-command collaborator,53
property wrapper,204
controller,347
wrapper,310
predicate non-void-command collaborator,456
incidental,157
void-accessor collaborator,5
copy-constructor,143
get controller,1
get collaborator,311
get property wrapper,15
non-void-command collaborator,880
get non-void-command,4
predicate,38
command collaborator,1712
property,43
get property factory wrapper,6
command,848
property factory wrapper,57
predicate non-void-command,111
property factory,27
collaborator,30
factory collaborator stateless,116
property set factory collaborator,12
get wrapper,20
controller stateless,969
non-void-command factory collaborator,37
get property non-void-command factory,3
predicate controller,28
get set collaborator,13
get set,3
get predicate non-void-command,12
get predicate non-void-command collaborator,1
property set factory,1
factory stateless,7
get set factory collaborator,4
property factory controller,21
void-accessor controller,2
factory collaborator incidental,9
Total,14215
