Unique Method Stereotype,Method Count
property command collaborator,1
set collaborator,77
property controller,38
property non-void-command collaborator,191
wrapper stateless,164
predicate controller,14
collaborator incidental,37
get,169
get property non-void-command collaborator,2
property collaborator,303
property non-void-command,25
predicate set,4
property non-void-command factory collaborator,2
void-accessor command collaborator,40
property,288
command collaborator,811
void-accessor controller,5
predicate,142
get predicate,2
set,98
constructor,524
empty,117
command,352
non-void-command factory collaborator,1
controller stateless,93
incidental,130
controller,54
void-accessor collaborator,12
copy-constructor,69
predicate collaborator,73
predicate non-void-command collaborator,66
wrapper,100
get set,28
destructor,94
property set collaborator,5
predicate wrapper,22
property wrapper,79
get non-void-command collaborator,26
collaborator,66
predicate set collaborator,3
void-accessor command,7
get set collaborator,18
get wrapper,47
unclassified,35
get property wrapper,4
non-void-command collaborator,5
get non-void-command,14
get property collaborator,14
void-accessor set collaborator,1
get predicate collaborator,8
void-accessor wrapper,3
predicate non-void-command,12
get property,6
get collaborator,146
get controller,1
property set,5
get property set collaborator,1
get property set,2
get predicate non-void-command collaborator,1
void-accessor set,1
Total,4658
