Unique Class Stereotype,Class Count
data-provider small-class,1
commander lazy-class degenerate,1
data-provider data-class small-class,1
data-provider boundary data-class small-class,2
factory degenerate small-class,2
entity data-class small-class,1
controller degenerate,2
boundary lazy-class degenerate,1
data-provider,3
commander boundary degenerate,4
controller lazy-class degenerate,1
minimal-entity lazy-class,1
entity data-provider boundary,2
data-provider boundary,6
small-class,13
controller small-class,2
unclassified,44
boundary degenerate,25
commander boundary,41
controller,6
commander degenerate,6
commander boundary small-class,20
entity boundary,44
degenerate small-class,11
pure-controller degenerate,15
boundary degenerate small-class,11
entity boundary data-class small-class,1
pure-controller degenerate small-class,34
entity commander boundary,9
boundary data-class small-class,1
data-provider lazy-class degenerate,1
entity boundary degenerate,2
commander boundary data-class small-class,1
commander small-class,11
lazy-class degenerate,1
entity small-class,5
empty,104
commander,17
data-provider boundary small-class,3
commander data-class small-class,2
boundary small-class,2
entity factory controller small-class,5
entity,7
degenerate,37
boundary,47
pure-controller small-class,3
factory small-class,7
entity boundary small-class,9
entity boundary data-class,1
factory controller small-class,18
Total,594
