Class Stereotype,Stereotype Count
entity,154
minimal-entity,18
data-provider,73
commander,312
boundary,544
factory,22
controller,34
pure-controller,57
large-class,0
lazy-class,39
degenerate,220
data-class,72
small-class,212
empty,218
unclassified,217
Total,2192
