Class Stereotype,Stereotype Count
entity,492
minimal-entity,8
data-provider,165
commander,258
boundary,1165
factory,0
controller,10
pure-controller,39
large-class,4
lazy-class,15
degenerate,255
data-class,22
small-class,373
empty,380
unclassified,178
Total,3364
