Class Stereotype,Stereotype Count
entity,416
minimal-entity,23
data-provider,145
commander,93
boundary,944
factory,49
controller,121
pure-controller,32
large-class,3
lazy-class,55
degenerate,206
data-class,27
small-class,359
empty,920
unclassified,164
Total,3557
