Unique Class Stereotype,Class Count
data-provider lazy-class small-class,1
data-provider lazy-class,1
lazy-class small-class,1
data-provider boundary lazy-class degenerate,1
controller,1
entity minimal-entity boundary,5
factory degenerate small-class,2
commander degenerate,1
lazy-class,3
data-provider data-class small-class,11
entity boundary lazy-class degenerate,1
entity boundary small-class,25
data-provider boundary data-class,5
data-provider small-class,20
boundary lazy-class,3
degenerate small-class,8
pure-controller degenerate,2
boundary lazy-class degenerate,3
controller degenerate,2
boundary data-class small-class,7
small-class,21
controller small-class,7
unclassified,104
boundary degenerate small-class,39
pure-controller degenerate small-class,13
entity commander boundary,16
commander boundary,55
boundary degenerate,13
data-provider boundary,66
data-provider boundary data-class small-class,10
data-provider data-class,2
commander data-class small-class,4
entity boundary lazy-class,1
boundary small-class,10
data-provider degenerate,1
commander boundary data-class,2
data-provider boundary small-class,56
empty,2362
commander,44
data-class small-class,8
entity boundary,91
data-provider,50
entity data-provider boundary lazy-class,1
lazy-class degenerate,1
entity data-provider boundary,23
factory controller small-class,4
data-provider boundary lazy-class small-class,1
entity boundary degenerate,1
commander boundary data-class small-class,1
commander small-class,17
commander boundary degenerate,3
commander boundary small-class,16
boundary,94
pure-controller small-class,4
degenerate,14
data-provider boundary degenerate,2
data-class,3
Total,3263
