Unique Method Stereotype,Method Count
property non-void-command factory collaborator,2
collaborator stateless,1
void-accessor command collaborator,8
void-accessor controller,1
predicate,1
get property non-void-command,1
non-void-command factory collaborator,4
property non-void-command collaborator,17
copy-constructor,1
property non-void-command,5
predicate non-void-command collaborator,1
property wrapper,10
get set collaborator,4
wrapper stateless,31
collaborator incidental,13
controller stateless,234
get collaborator,5
incidental,14
factory collaborator stateless,1
wrapper,4
set collaborator,12
controller,2
factory collaborator incidental,1
set,2
constructor,32
non-void-command collaborator,22
command,32
empty,14
command collaborator,50
Total,525
