Unique Class Stereotype,Class Count
commander lazy-class degenerate,1
pure-controller degenerate,2
entity minimal-entity boundary,1
factory degenerate small-class,2
controller,6
boundary data-class small-class,2
lazy-class degenerate,3
controller small-class,15
unclassified,30
small-class,68
entity boundary lazy-class degenerate,1
entity boundary small-class,42
entity factory controller small-class,13
degenerate,12
boundary,25
factory controller data-class small-class,9
data-provider boundary small-class,23
commander boundary small-class,26
controller lazy-class small-class,1
data-class small-class,1
entity boundary,49
commander boundary,75
commander lazy-class small-class,2
factory controller small-class,5
controller degenerate,1
boundary lazy-class degenerate,1
empty,316
commander,22
entity small-class,7
boundary degenerate small-class,15
entity,4
commander data-class,2
degenerate small-class,5
entity commander boundary,56
pure-controller degenerate small-class,18
controller lazy-class degenerate,1
commander boundary degenerate,1
boundary small-class,1
commander data-class small-class,13
commander small-class,4
commander boundary data-class small-class,10
Total,891
