Unique Class Stereotype,Class Count
factory degenerate,2
entity,1
entity small-class,2
entity boundary,4
factory pure-controller degenerate,2
data-class,2
pure-controller degenerate small-class,36
entity boundary small-class,7
small-class,13
empty,61
unclassified,28
boundary degenerate small-class,18
degenerate small-class,23
entity factory controller,1
pure-controller degenerate,28
boundary,1
data-provider boundary small-class,1
commander,2
entity factory controller small-class,1
factory pure-controller degenerate small-class,1
controller,2
boundary degenerate,5
degenerate,8
Total,249
