Unique Class Stereotype,Class Count
boundary lazy-class degenerate,1
pure-controller degenerate small-class,1
lazy-class degenerate,2
entity boundary degenerate,1
data-provider,1
data-provider boundary small-class,4
commander,4
commander boundary small-class,4
commander boundary degenerate,1
degenerate small-class,2
small-class,8
entity boundary small-class,6
data-provider small-class,1
entity commander boundary,5
boundary degenerate small-class,10
commander small-class,1
boundary degenerate,2
commander boundary,2
entity boundary,17
empty,587
unclassified,21
data-provider boundary data-class small-class,1
data-provider boundary,5
lazy-class,1
boundary,16
data-class small-class,1
degenerate,5
Total,710
