Unique Method Stereotype,Method Count
get property non-void-command,1
get predicate set,1
predicate wrapper,1
predicate set collaborator,1
predicate collaborator,1
factory wrapper stateless,2
collaborator stateless,1
factory collaborator stateless,1
predicate,6
property factory collaborator,1
void-accessor command collaborator,1
set,63
constructor,98
get non-void-command collaborator,1
property wrapper,11
command,194
command collaborator,191
non-void-command factory collaborator,5
predicate non-void-command,38
wrapper,7
get non-void-command,1
controller stateless,22
set collaborator,22
property non-void-command collaborator,36
property controller,5
predicate non-void-command collaborator,36
controller,22
incidental,16
get command,1
get collaborator,5
wrapper stateless,12
factory controller stateless,13
get set collaborator,2
property non-void-command,82
predicate set,5
property non-void-command factory collaborator,2
property,6
get property non-void-command collaborator,1
get,41
collaborator incidental,3
property set collaborator,1
stateless,1
empty,39
factory controller,4
Total,1003
