Method Stereotype,Stereotype Count
get,144
predicate,153
property,266
void-accessor,17
set,86
command,221
non-void-command,163
collaborator,386
controller,89
wrapper,228
constructor,233
copy-constructor,37
destructor,104
factory,36
incidental,37
stateless,122
empty,48
unclassified,16
Total,2386
