Unique Method Stereotype,Method Count
get property set collaborator,1
property non-void-command,1
property,1
property non-void-command factory collaborator,1
property wrapper,2
predicate non-void-command collaborator,7
property controller,1
controller stateless,29
command collaborator,26
wrapper stateless,49
collaborator incidental,13
property factory wrapper,1
set,6
constructor,16
empty,24
command,5
controller,9
property set collaborator,1
wrapper,3
predicate non-void-command,1
property non-void-command collaborator,7
set collaborator,1
predicate set,1
get property non-void-command collaborator,3
collaborator stateless,1
void-accessor command collaborator,1
Total,211
