Unique Method Stereotype,Method Count
void-accessor command,1
factory controller stateless,1
property set,2
property factory wrapper,2
factory collaborator stateless,2
get non-void-command collaborator,2
property wrapper,12
set,46
constructor,101
predicate non-void-command collaborator,47
controller,21
incidental,36
get collaborator,15
controller stateless,104
unclassified,5
command,176
predicate non-void-command,34
predicate wrapper,3
command collaborator,181
property,23
predicate set,2
property collaborator,1
property non-void-command factory collaborator,7
property non-void-command,86
property set collaborator,1
stateless,7
property controller,2
property non-void-command collaborator,47
set collaborator,9
wrapper stateless,14
get,35
collaborator incidental,8
property factory collaborator,4
non-void-command factory collaborator,18
predicate controller,2
collaborator stateless,2
wrapper,4
get set,1
empty,16
factory controller,1
Total,1081
