Unique Class Stereotype,Class Count
entity,1
commander boundary small-class,1
pure-controller small-class,8
pure-controller,3
boundary degenerate small-class,2
boundary data-class small-class,1
boundary small-class,1
data-provider boundary,1
entity boundary,6
degenerate,18
pure-controller degenerate small-class,5
commander,2
pure-controller degenerate,10
boundary,7
controller degenerate,8
commander boundary,2
boundary degenerate,7
controller,1
data-provider data-class small-class,1
data-provider,6
empty,24
unclassified,22
entity boundary small-class,1
small-class,4
entity data-provider boundary,1
degenerate small-class,2
Total,145
