Method Stereotype,Stereotype Count
get,68
predicate,130
property,356
void-accessor,53
set,218
command,770
non-void-command,183
collaborator,1062
controller,133
wrapper,309
constructor,679
copy-constructor,8
destructor,17
factory,106
incidental,29
stateless,144
empty,25
unclassified,55
Total,4345
