Method Stereotype,Stereotype Count
get,842
predicate,201
property,975
void-accessor,131
set,945
command,786
non-void-command,460
collaborator,2131
controller,162
wrapper,996
constructor,405
copy-constructor,4
destructor,2
factory,135
incidental,336
stateless,403
empty,63
unclassified,7
Total,8984
