Unique Class Stereotype,Class Count
factory controller degenerate,1
entity minimal-entity boundary,1
boundary data-class,1
factory degenerate small-class,1
controller,6
factory pure-controller degenerate small-class,1
data-class,2
factory small-class,1
boundary controller degenerate,1
entity factory controller small-class,5
data-provider,9
small-class,8
entity boundary small-class,34
data-class small-class,1
entity boundary,36
data-provider boundary data-class small-class,1
unclassified,38
controller small-class,2
data-provider boundary,4
entity,2
commander boundary small-class,14
data-provider boundary small-class,6
factory pure-controller small-class,1
entity commander boundary,6
empty,206
entity small-class,3
commander,4
factory controller,8
data-provider small-class,9
pure-controller degenerate,2
entity factory controller,6
lazy-class,1
minimal-entity commander boundary,1
data-provider data-class small-class,57
factory controller small-class,1
boundary,71
degenerate,3
commander data-class small-class,1
data-provider data-class,12
factory degenerate,1
commander boundary,4
boundary degenerate,1
Total,573
