Unique Class Stereotype,Class Count
data-provider boundary degenerate,1
commander boundary small-class,3
pure-controller degenerate small-class,1
data-provider small-class,3
boundary degenerate,1
commander boundary,1
degenerate small-class,1
data-provider,5
empty,51
unclassified,24
boundary small-class,1
data-provider boundary data-class small-class,1
data-provider boundary,4
pure-controller degenerate,1
boundary,15
data-provider boundary small-class,4
commander,4
small-class,3
entity boundary small-class,1
entity boundary,12
commander lazy-class degenerate,1
entity commander boundary,1
boundary degenerate small-class,1
entity data-provider boundary,1
entity boundary degenerate,2
Total,143
