Unique Method Stereotype,Method Count
unclassified,1
get set collaborator,1
property set,3
get non-void-command collaborator,2
incidental,59
factory collaborator,2
controller,60
property wrapper,48
factory wrapper,3
property non-void-command factory collaborator,36
property non-void-command,62
predicate set,1
get collaborator,157
get,208
collaborator incidental,43
get property non-void-command collaborator,8
empty,75
get property controller,1
factory controller,2
void-accessor command collaborator,43
copy-constructor,12
void-accessor collaborator,3
property,46
command collaborator,349
non-void-command,22
set collaborator,117
property non-void-command collaborator,101
property controller,21
constructor,328
set,150
predicate,18
get property collaborator,9
void-accessor set collaborator,2
get property wrapper,1
predicate non-void-command collaborator,24
wrapper,76
destructor,2
property set collaborator,2
property collaborator,48
stateless,2
factory collaborator incidental,2
wrapper stateless,52
predicate non-void-command,18
void-accessor wrapper,3
predicate wrapper,11
get non-void-command,1
non-void-command collaborator,14
controller stateless,33
non-void-command factory collaborator,13
predicate controller,3
get property,5
predicate collaborator,10
factory wrapper stateless,1
factory collaborator stateless,10
property factory collaborator,8
collaborator stateless,3
collaborator,9
set factory collaborator,2
command,236
property factory wrapper,7
void-accessor command,2
factory controller stateless,4
void-accessor controller,4
property factory controller,6
get set factory collaborator,2
Total,2607
