Unique Method Stereotype,Method Count
factory collaborator stateless,1
property factory wrapper,1
void-accessor controller,1
factory controller stateless,4
factory collaborator,2
get property non-void-command factory collaborator,3
factory wrapper stateless,2
predicate collaborator,2
collaborator,5
property set collaborator,6
destructor,7
property,19
predicate set collaborator,1
property non-void-command factory,1
predicate,15
get set collaborator,3
non-void-command factory collaborator,9
predicate non-void-command,13
predicate wrapper,17
non-void-command collaborator,52
set,79
constructor,238
factory controller,1
empty,12
command,134
command collaborator,221
get set,1
wrapper,124
non-void-command,35
get non-void-command collaborator,1
property wrapper,85
void-accessor wrapper,1
wrapper stateless,118
set factory collaborator,1
collaborator stateless,18
void-accessor,1
void-accessor collaborator,1
void-accessor command collaborator,16
controller stateless,46
property controller,9
property non-void-command collaborator,85
set collaborator,85
predicate non-void-command collaborator,23
copy-constructor,14
controller,18
incidental,39
get collaborator,35
collaborator incidental,47
get,48
property non-void-command factory collaborator,12
property non-void-command,23
property collaborator,3
predicate set,1
Total,1739
