Unique Class Stereotype,Class Count
data-provider data-class small-class,2
lazy-class,3
commander lazy-class degenerate,1
data-provider boundary data-class small-class,2
factory controller small-class,1
data-provider,10
controller,2
factory pure-controller degenerate small-class,2
data-class,6
pure-controller degenerate small-class,16
commander boundary degenerate,7
entity boundary small-class,9
small-class,8
data-class small-class,3
entity boundary,21
data-provider boundary small-class,2
entity small-class,2
factory controller,1
empty,77
commander,47
pure-controller degenerate,13
commander boundary,32
boundary degenerate,5
data-provider data-class,1
boundary small-class,2
unclassified,53
controller small-class,2
data-provider boundary,1
data-provider lazy-class,4
pure-controller,8
degenerate,12
boundary,39
pure-controller small-class,7
commander small-class,6
boundary degenerate small-class,5
commander boundary small-class,7
degenerate small-class,2
boundary lazy-class,2
data-provider boundary lazy-class,3
controller degenerate,5
boundary lazy-class degenerate,2
Total,433
