Unique Class Stereotype,Class Count
data-provider boundary lazy-class degenerate,1
entity,1
entity boundary degenerate,18
lazy-class degenerate,15
controller degenerate,12
boundary lazy-class degenerate,2
factory pure-controller degenerate small-class,7
boundary,344
pure-controller small-class,7
commander boundary,92
data-provider,109
small-class,97
entity boundary lazy-class degenerate,1
pure-controller,1
controller,8
data-provider boundary small-class,77
data-provider lazy-class small-class,2
empty,941
boundary degenerate small-class,84
entity commander boundary,47
entity boundary small-class,82
pure-controller degenerate small-class,93
entity boundary data-class small-class,2
data-provider small-class,40
degenerate small-class,68
commander boundary data-class small-class,5
entity boundary,212
commander,106
data-class,12
unclassified,515
controller small-class,54
data-provider lazy-class degenerate,5
boundary data-class small-class,3
lazy-class,13
commander boundary small-class,41
data-provider boundary lazy-class,2
data-provider boundary,99
entity minimal-entity boundary,8
data-provider degenerate,5
data-provider boundary data-class,2
degenerate,157
controller lazy-class degenerate,4
commander boundary degenerate,2
pure-controller degenerate,19
entity data-provider boundary,26
lazy-class small-class,3
data-provider data-class,5
boundary small-class,15
commander data-class small-class,7
data-provider boundary data-class small-class,16
data-provider data-class small-class,14
boundary degenerate,76
commander lazy-class degenerate,3
data-provider boundary degenerate,4
commander lazy-class small-class,1
commander small-class,72
boundary data-class,4
factory controller small-class,3
data-class small-class,19
commander degenerate,4
minimal-entity boundary,4
factory degenerate small-class,3
entity minimal-entity data-provider boundary,1
controller data-class small-class,1
Total,3696
