Method Stereotype,Stereotype Count
get,195
predicate,155
property,625
void-accessor,89
set,232
command,559
non-void-command,661
collaborator,1232
controller,1493
wrapper,1282
constructor,439
copy-constructor,19
destructor,2
factory,129
incidental,162
stateless,2695
empty,23
unclassified,2
Total,9994
