Unique Method Stereotype,Method Count
property non-void-command factory,1
factory collaborator stateless,4
get property wrapper,1
get property set,1
unclassified,1
get property set collaborator,1
get wrapper,2
predicate,4
property set,2
non-void-command,3
get collaborator,3
factory controller stateless,3
get controller,1
predicate non-void-command,13
property factory,2
stateless,4
property set collaborator,30
collaborator stateless,21
property factory collaborator,16
non-void-command factory collaborator,2
predicate controller,6
property factory controller,73
controller stateless,1132
property factory wrapper,238
constructor,282
set,11
wrapper stateless,98
empty,76
command,38
property,6
predicate collaborator,4
wrapper,8
get set,57
predicate set,4
property non-void-command factory collaborator,189
property collaborator,5
property non-void-command,19
property set factory collaborator,12
predicate wrapper,2
non-void-command collaborator,7
property non-void-command collaborator,193
property controller,15
set collaborator,8
get non-void-command collaborator,8
property wrapper,10
predicate non-void-command collaborator,12
copy-constructor,9
incidental,29
controller,10
command collaborator,42
get,7
collaborator incidental,45
get property non-void-command collaborator,5
get set collaborator,3
Total,2778
