Method Stereotype,Stereotype Count
get,89
predicate,45
property,819
void-accessor,0
set,129
command,80
non-void-command,452
collaborator,610
controller,1240
wrapper,359
constructor,282
copy-constructor,9
destructor,0
factory,540
incidental,74
stateless,1262
empty,76
unclassified,1
Total,6067
