Unique Method Stereotype,Method Count
void-accessor set,1
property factory wrapper,1
get collaborator,1
get set collaborator,1
get set,3
wrapper,1
void-accessor command,40
unclassified,2
predicate wrapper,3
get non-void-command,1
void-accessor set collaborator,4
set,17
property set,1
get property controller,1
constructor,199
predicate non-void-command,6
non-void-command factory collaborator,14
property factory controller,6
get non-void-command collaborator,1
property wrapper,20
set collaborator,5
property non-void-command collaborator,54
property controller,20
controller stateless,30
property,5
stateless,4
property set collaborator,3
factory collaborator stateless,2
collaborator stateless,5
void-accessor command collaborator,22
wrapper stateless,101
property collaborator,1
predicate set,2
property non-void-command factory collaborator,9
property non-void-command,65
predicate collaborator,2
factory wrapper stateless,1
empty,3
command,49
predicate,1
void-accessor controller,9
command collaborator,71
get,5
collaborator incidental,4
factory controller stateless,1
copy-constructor,12
predicate non-void-command collaborator,4
incidental,37
controller,12
Total,862
