Unique Class Stereotype,Class Count
commander lazy-class degenerate,1
entity minimal-entity boundary,1
commander boundary lazy-class,1
lazy-class,1
data-provider degenerate,1
entity boundary small-class,2
lazy-class degenerate,1
data-provider boundary degenerate,1
data-provider,3
data-provider small-class,4
commander boundary degenerate,1
boundary degenerate,6
commander boundary,39
controller,1
degenerate small-class,6
pure-controller,1
data-provider boundary small-class,5
boundary degenerate small-class,9
pure-controller degenerate,12
entity commander boundary,7
pure-controller degenerate small-class,22
data-class,4
pure-controller small-class,7
boundary,17
degenerate,25
data-provider lazy-class degenerate,2
controller small-class,1
unclassified,32
entity small-class,1
commander,17
empty,45
factory controller small-class,5
controller degenerate,2
commander boundary small-class,25
commander small-class,12
commander boundary data-class small-class,7
data-provider boundary lazy-class degenerate,1
data-class small-class,1
entity boundary,20
entity data-provider boundary,3
commander data-class small-class,1
boundary small-class,6
data-provider boundary,1
small-class,6
Total,366
