Method Stereotype,Stereotype Count
get,2854
predicate,737
property,2121
void-accessor,1353
set,1655
command,3386
non-void-command,748
collaborator,7354
controller,944
wrapper,496
constructor,1083
copy-constructor,45
destructor,557
factory,116
incidental,208
stateless,1010
empty,48
unclassified,22
Total,24737
