Unique Method Stereotype,Method Count
property,1
property collaborator,2
copy-constructor,1
non-void-command collaborator,2
collaborator incidental,6
property factory collaborator,1
non-void-command,1
property non-void-command factory collaborator,4
set collaborator,1
wrapper,2
property set collaborator,5
controller stateless,177
wrapper stateless,78
set,6
constructor,32
command,27
incidental,1
get collaborator,8
get,7
predicate non-void-command,1
property non-void-command collaborator,47
get non-void-command collaborator,1
command collaborator,17
predicate,7
property wrapper,7
predicate non-void-command collaborator,2
Total,444
